"subNum","trial_number","cuedAR","uncuedAR","responseAR","response_error","rt","shape_org","cueType","e1_motion_dir","e2_motion_dir","round_number","coherence","cued_motion_dir","uncued_motion_dir","arDiff","pairAvg","cuedMotDir","pairGlobalOrg","pairMotDirSameness","pairMotDirSameness_wRandom","pairMotSame","pairMotDiff","pairMotRandom","pairSameARCat","pairAR_sameCondition","motDirComp","pairMotCoherent","pairMotDiago","id","corrCoeff","corrPval"
16592,144,-0.139,-0.139,0.13899,0.27799,1951,3,1,270,270,0,1,270,270,0,-0.139,1,1,1,1,1,0,0,1,1,1,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,70,-0.139,-0.139,0.09266,0.23166,1548,2,1,0,180,2,0,9999,9999,0,-0.139,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,104,-0.139,-0.139,0.04633,0.18533,21495,1,1,90,0,1,1,90,0,0,-0.139,1,0,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,140,-0.139,-0.139,-0.04633,0.09266,2684,3,2,90,90,0,1,90,90,0,-0.139,1,1,1,1,1,0,0,1,1,1,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,140,-0.139,-0.139,-0.04633,0.09266,2684,3,2,90,90,0,1,90,90,0,-0.139,1,1,1,1,1,0,0,1,1,1,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,95,-0.139,-0.139,-0.04633,0.09266,15112,3,1,90,90,1,0,9999,9999,0,-0.139,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,90,-0.139,-0.139,-0.32432,-0.18533,1460,2,1,270,90,2,1,270,90,0,-0.139,1,0,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,76,-0.09266,-0.09266,0.41699,0.50965,4530,4,2,270,90,0,1,90,270,0,-0.09266,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,91,-0.09266,-0.09266,0.23166,0.32432,1669,4,2,270,180,1,1,180,270,0,-0.09266,0,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,20,-0.09266,-0.09266,0.04633,0.139,1407,4,1,90,270,0,0,9999,9999,0,-0.09266,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,65,-0.09266,-0.09266,0,0.09266,2504,3,2,180,90,1,0,9999,9999,0,-0.09266,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,121,-0.09266,-0.09266,-0.09266,0,4737,1,1,270,180,2,1,270,180,0,-0.09266,1,0,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,63,-0.09266,-0.09266,-0.139,-0.04633,2736,2,2,90,180,2,0,9999,9999,0,-0.09266,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
